feature,Proteobacteria,Firmicutes,Actinobacteria,Archaea
combined_max,3.2201888954483966,3.3219412605990524,3.479329600219094,3.1508532468147727
combined_mean,1.5925609444279258,1.841372098588404,1.890569962429773,1.887778003073874
combined_entropy,2.7527326962534193,2.5017876916055766,2.5108598704543037,2.1884416996224116
combined_std,0.8419371684181252,0.8585931761026151,0.8426501526171509,0.7812145838519579
rbs_max,1.587316990177703,2.863414250958609,2.0551598250460295,2.055830028247078
codon_max,0.2907364730046226,0.17783049369648948,0.22758371592277896,0.24950117024892224
imm_max,0.11132007853608183,0.08630812589856804,0.11346604316864647,0.10480720157957851
num_orfs,16.87537188040192,11.04648218842099,15.009891981945493,10.286582739311074
frac_top_orfs,-0.47961400889004807,-0.5051817763285635,-0.4155287250767916,-0.36786541173399046
combined_margin_top2,-0.1139120069914139,0.084485616353415,-0.0610110380012131,-0.08503778801984985
start_select_max,12.79704017607407,12.185036128121272,11.09904744621074,11.105441659315442
